member_casual,rideable_type,ride_year,ride_month,day_of_week,hour_of_day,number_of_rides,avg_ride_duration,avg_ride_distance
casual,classic_bike,2022,Sep,Sunday,4,67,20.441542288557216,1916.2456866951234
casual,classic_bike,2022,Sep,Sunday,5,52,14.512820512820513,2150.8887433791324
casual,classic_bike,2022,Sep,Sunday,6,116,45.808764367816096,2351.221658917233
casual,classic_bike,2022,Sep,Sunday,7,156,38.70331196581196,2581.119542920079
casual,classic_bike,2022,Sep,Sunday,8,259,30.382754182754184,2544.2803353418362
casual,classic_bike,2022,Sep,Sunday,9,375,25.7104,2978.628789847373
casual,classic_bike,2022,Sep,Sunday,10,588,24.979903628117913,2874.2528277538227
casual,classic_bike,2022,Sep,Sunday,11,837,28.284567901234567,2581.572774747301
casual,classic_bike,2022,Sep,Sunday,12,840,24.22793650793651,2414.707797479093
casual,classic_bike,2022,Sep,Sunday,13,876,24.98470319634703,2482.9163779805717
casual,classic_bike,2022,Sep,Sunday,14,993,24.956814367237328,2424.928635692617
casual,classic_bike,2022,Sep,Sunday,15,1085,23.57399385560676,2528.0736332741303
casual,classic_bike,2022,Sep,Sunday,16,1031,23.419091496928548,2440.650730532952
casual,classic_bike,2022,Sep,Sunday,17,923,22.53044420368364,2384.6849305657956
casual,classic_bike,2022,Sep,Sunday,18,931,23.690440386680987,2128.9545791236505
casual,classic_bike,2022,Sep,Sunday,19,653,20.915696784073507,1993.1097987664464
casual,classic_bike,2022,Sep,Sunday,20,406,26.244540229885057,1993.0646375782733
casual,classic_bike,2022,Sep,Sunday,21,343,26.922448979591838,2040.7301048808813
casual,classic_bike,2022,Sep,Sunday,22,362,19.00013812154696,2158.1220663354775
casual,classic_bike,2022,Sep,Sunday,23,170,21.68519607843137,2039.8928709571703
casual,classic_bike,2022,Sep,Thursday,0,115,16.955797101449274,1814.9846715577476
casual,classic_bike,2022,Sep,Thursday,1,58,24.366666666666667,1834.3192797508805
casual,classic_bike,2022,Sep,Thursday,2,31,10.828494623655914,1991.3216736058632
casual,classic_bike,2022,Sep,Thursday,3,24,12.693055555555555,2147.569237343728
casual,classic_bike,2022,Sep,Thursday,4,21,11.41031746031746,1765.5055651806276
casual,classic_bike,2022,Sep,Thursday,5,72,10.516435185185186,1734.2231987518685
casual,classic_bike,2022,Sep,Thursday,6,242,13.679476584022039,1806.9568940562772
casual,classic_bike,2022,Sep,Thursday,7,427,13.877985948477752,2047.1623212564416
casual,classic_bike,2022,Sep,Thursday,8,588,15.566269841269841,1945.464615732055
casual,classic_bike,2022,Sep,Thursday,9,414,24.215660225442836,2170.2551018873864
casual,classic_bike,2022,Sep,Thursday,10,442,22.443438914027148,2249.838560372403
casual,classic_bike,2022,Sep,Thursday,11,503,28.674519549370444,2187.4089717596617
casual,classic_bike,2022,Sep,Thursday,12,662,26.218605236656597,2184.9323145457697
casual,classic_bike,2022,Sep,Thursday,13,651,23.26571940604199,2191.2721474654527
casual,classic_bike,2022,Sep,Thursday,14,701,28.71849738468854,2291.1964328724134
casual,classic_bike,2022,Sep,Thursday,15,807,24.486802973977696,2146.938636236936
casual,classic_bike,2022,Sep,Thursday,16,1068,21.50578963795256,2333.6684726793983
casual,classic_bike,2022,Sep,Thursday,17,1562,19.567723004694837,2280.5915591581042
casual,classic_bike,2022,Sep,Thursday,18,1826,18.678249361080688,2248.234977575299
casual,classic_bike,2022,Sep,Thursday,19,1270,15.996272965879266,2111.6630950058684
casual,classic_bike,2022,Sep,Thursday,20,768,18.8970703125,1955.9227639236071
casual,classic_bike,2022,Sep,Thursday,21,691,17.332247949831164,2008.1416887558814
casual,classic_bike,2022,Sep,Thursday,22,837,15.965651135005974,1955.0377220312305
casual,classic_bike,2022,Sep,Thursday,23,362,17.616298342541437,1785.9494851052568
casual,classic_bike,2022,Sep,Tuesday,0,74,11.698648648648648,1474.1584884083231
casual,classic_bike,2022,Sep,Tuesday,1,33,16.48030303030303,1632.2654224291966
casual,classic_bike,2022,Sep,Tuesday,2,26,26.21794871794872,1744.5891264027214
casual,classic_bike,2022,Sep,Tuesday,3,11,13.981818181818182,1724.3123134078658
casual,classic_bike,2022,Sep,Tuesday,4,31,26.730645161290322,1797.1262365553523
casual,classic_bike,2022,Sep,Tuesday,5,44,9.908333333333333,1692.1897794803351
casual,classic_bike,2022,Sep,Tuesday,6,180,11.894814814814815,1952.7673072193024
casual,classic_bike,2022,Sep,Tuesday,7,347,11.681364073006725,1924.2084626712094
casual,classic_bike,2022,Sep,Tuesday,8,463,12.90190784737221,1817.8365981545005
casual,classic_bike,2022,Sep,Tuesday,9,294,20.045578231292517,2010.6304535816205
casual,classic_bike,2022,Sep,Tuesday,10,313,23.36251331203408,2007.8870011226961
casual,classic_bike,2022,Sep,Tuesday,11,375,25.074933333333334,2161.0281408471265
casual,classic_bike,2022,Sep,Tuesday,12,456,24.466922514619885,1973.600642735001
casual,classic_bike,2022,Sep,Tuesday,13,449,21.179695619896066,2227.3585327891265
casual,classic_bike,2022,Sep,Tuesday,14,438,24.72591324200913,2037.614354412736
casual,classic_bike,2022,Sep,Tuesday,15,555,23.74003003003003,2190.2983386539904
casual,classic_bike,2022,Sep,Tuesday,16,818,21.325285248573756,2207.5434057861353
casual,classic_bike,2022,Sep,Tuesday,17,1096,20.665465328467153,2235.7396408413415
casual,classic_bike,2022,Sep,Tuesday,18,944,18.2048552259887,2193.4038270962433
casual,classic_bike,2022,Sep,Tuesday,19,661,14.858270297528996,1974.3093463480577
casual,classic_bike,2022,Sep,Tuesday,20,418,15.85713716108453,1947.3707852845005
casual,classic_bike,2022,Sep,Tuesday,21,466,20.567095851216024,2006.1275774790981
casual,classic_bike,2022,Sep,Tuesday,22,308,18.745508658008657,1927.718824402311
